str,en_US,en,fr,it,de,nl,es,cy,ca,zh,
error_while_loading_please_try_again,Error while loading. Please try again,Error while loading. Please try again,Erreur lors du chargement. Veuillez réessayer.,Errore durante il caricamento. Riprova.,Beim Laden ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut.,Fout bij het laden. Probeer het opnieuw.,Error al cargar. Inténtalo de nuevo.,Gwall wrth lwytho. Ceisiwch eto,,加载时出错。请重试,
select,Select,Select,Sélectionner,Selezionare,Wählen,Selecteer,Seleccionar,Dewiswch,,选择,
keycard,Keycard,Keycard,Carte-clé,Tessera magnetica,Schlüsselkarte,Sleutelkaart,Tarjeta de acceso,Cerdyn allwedd,,钥匙卡,
hold_your_phone_under_the_scanner_so_the_beam_aligns_to_the_qr_code,Hold your phone under the scanner so the beam aligns to the QR code.,Hold your phone under the scanner so the beam aligns to the QR code.,Tenez votre téléphone sous le scanner afin que le faisceau s'aligne sur le code QR.,Tieni il telefono sotto lo scanner in modo che il raggio sia allineato al codice QR.,"Halten Sie Ihr Telefon unter den Scanner, sodass der Strahl auf den QR-Code ausgerichtet ist.","Houd uw telefoon onder de scanner, zodat de straal op de QR-code is gericht.",Sostenga el teléfono debajo del escáner para que el haz se alinee con el código QR.,Daliwch eich ff√¥n o dan y sganiwr fel bod y trawst yn cyd-fynd √¢'r cod QR.,,将手机放在扫描仪下方，使光束与二维码对齐。,
tap_to_unlock_as,Tap to unlock as,Tap to unlock as,Appuyez pour déverrouiller comme,Tocca per sbloccare come,Zum Entsperren tippen als,Tik om te ontgrendelen als,Toca para desbloquear como,Tap i ddatgloi fel,,轻触即可解锁,
enter_this_code_in_the_terminal_to_enter,Enter this code in the terminal to enter.,Enter this code in the terminal to enter.,Entrez ce code dans le terminal pour entrer.,Inserisci questo codice nel terminale per accedere.,"Geben Sie diesen Code in das Terminal ein, um einzutreten.",Voer deze code in de terminal in om binnen te komen.,Introduzca este código en la terminal para ingresar.,Rhowch y cod hwn yn y derfynell i fynd i mewn.,,在终端中输入此代码即可进入。,
opened,Opened,Opened,Ouvert,Aperto,Geöffnet,Geopend,Abierto,Agorwyd,,已打开,
becket_house_keys,Becket house keys.,Becket house keys.,Clés de la maison Becket.,Chiavi di casa Becket.,Becket-Hausschlüssel.,Sleutels van het Beckethuis.,Llaves de la casa Becket.,Allweddi t≈∑ beced.,,贝克特家的钥匙。,
gain_access_to_resources_on_site,Gain access to resources on site,Gain access to resources on site,Accédez aux ressources sur place,Ottieni l'accesso alle risorse sul sito,Erhalten Sie Zugriff auf Ressourcen vor Ort,Krijg toegang tot bronnen op locatie,Obtenga acceso a los recursos en el sitio,Cael mynediad i adnoddau ar y safle,,获取现场资源,
via_qr,Via QR,Via QR,Par QR,Tramite QR,Über QR,Via QR,Vía QR,Trwy QR,,通过二维码,
nfc_and_codes,NFC and codes.,NFC and codes.,NFC et codes.,NFC e codici.,NFC und Codes.,NFC en codes.,NFC y códigos.,NFC a chodau.,,NFC 和代码。,
my_keycards,My Keycards,My Keycards,Mes cartes-clés,Le mie tessere magnetiche,Meine Schlüsselkarten,Mijn sleutelkaarten,Mis tarjetas de acceso,Fy Allweddellau,,我的钥匙卡,
card_holder,Card holder,Card holder,Porte-cartes,Titolare della carta,Karteninhaber,Kaarthouder,Titular de la tarjeta,Deiliad cerdyn,,卡夹,
type,Type,Type,Taper,Tipo,Typ,Type,Tipo,Math,,类型,
registered,Registered,Registered,Inscrit,Registrato,Eingetragen,Geregistreerd,Registrado,Wedi cofrestru,,挂号的,
hey,Hey,Hey,Hé,EHI,Hey,Hoi,Ey,Hei,,嘿,
please_collect_your_package_from_reception_counter_thanks,please collect your package from the reception counter. Thanks.,please collect your package from reception counter. Thanks.,Veuillez retirer votre colis à la réception. Merci.,Si prega di ritirare il pacco alla reception. Grazie.,Bitte holen Sie Ihr Paket am Empfangstresen ab. Danke.,Haal uw pakket op bij de receptie. Bedankt.,"Por favor, recoja su paquete en recepción. Gracias.",casglwch eich pecyn o gownter y dderbynfa. Diolch.,,请到接待处领取您的包裹。谢谢。,
loading,Loading,Loading,Chargement,Caricamento,Laden,Bezig met laden,Cargando,Llwytho,,加载中,
matched_users,Matched Users,Matched Users,Utilisateurs correspondants,Utenti abbinati,Übereinstimmende Benutzer,Overeenkomende gebruikers,Usuarios coincidentes,Defnyddwyr Cyfatebol,,匹配用户,
tap_a_user_below_to_send_a_delivery_alert_for_this_package,Tap a user below to send a delivery alert for this package.,Tap a user below to send a delivery alert for this package.,Appuyez sur un utilisateur ci-dessous pour envoyer une alerte de livraison pour ce colis.,Tocca un utente qui sotto per inviare un avviso di consegna per questo pacco.,"Tippen Sie unten auf einen Benutzer, um eine Zustellbenachrichtigung für dieses Paket zu senden.",Tik hieronder op een gebruiker om een ​​bezorgmelding voor dit pakket te verzenden.,Toque un usuario a continuación para enviar una alerta de entrega para este paquete.,Tapiwch ddefnyddiwr isod i anfon rhybudd danfon ar gyfer y pecyn hwn.,,点击下面的用户即可发送此包裹的递送提醒。,
scan_again,Scan Again,Scan Again,Scannez à nouveau,Scansiona di nuovo,Erneut scannen,Opnieuw scannen,Escanear de nuevo,Sgan eto,,再次扫描,
no_match_found!,No Match Found!,No Match Found!,Aucune correspondance trouvée !,Nessuna corrispondenza trovata!,Keine Übereinstimmung gefunden!,Geen overeenkomst gevonden!,¡No se encontró ninguna coincidencia!,Heb Ddarganfod Cyfateb!,,未找到匹配项！,
add_a_message_(optional),Add a message (optional),Add a message (optional),Ajouter un message (facultatif),Aggiungi un messaggio (facoltativo),Nachricht hinzufügen (optional),Voeg een bericht toe (optioneel),Añadir un mensaje (opcional),Ychwanegu neges (dewisol),,添加消息（可选）,
send,Send,Send,Envoyer,Inviare,Schicken,Versturen,Enviar,Anfon,,发送,
minutes_-,minutes -,minutes -,minutes -,minuti -,Minuten -,minuten -,minutos -,munud -,,分钟 -,
request_delivery_time,Request delivery time,Request delivery time,Demander un délai de livraison,Richiedi tempo di consegna,Lieferzeit anfragen,Vraag levertijd aan,Solicitar tiempo de entrega,Gofyn am amser dosbarthu,,请求交货时间,
text_to_announce_in_accessibility_modes,Text to announce in accessibility modes,Text to announce in accessibility modes,Texte à annoncer dans les modes d'accessibilité,Testo da annunciare nelle modalità di accessibilità,Text zur Ankündigung in den Barrierefreiheitsmodi,Tekst om aan te kondigen in toegankelijkheidsmodi,Texto para anunciar en modos de accesibilidad,Testun i'w gyhoeddi mewn moddau hygyrchedd,,在辅助功能模式下宣布的文本,
game_over,Game over,Game over,Jeu terminé,Game Over,Spiel vorbei,Spel voorbij,Juego terminado,G√™m drosodd,,游戏结束,
checkout,Checkout,Checkout,Vérifier,Guardare,Kasse,Uitchecken,Verificar,Desg dalu,,查看,
your_order,Your Order,Your Order,Votre commande,Il tuo ordine,Ihre Bestellung,Uw bestelling,Su pedido,Eich Gorchymyn,,您的订单,
place_order,Place Order,Place Order,Passer une commande,Effettua l'ordine,Bestellung aufgeben,Bestelling plaatsen,Realizar pedido,Trefn Lle,,下订单,
please_review_your_order_again,Please review your order again,Please review your order again,Veuillez revoir votre commande à nouveau,Si prega di rivedere nuovamente il tuo ordine,Bitte überprüfen Sie Ihre Bestellung noch einmal,Controleer uw bestelling nogmaals,Por favor revise su pedido nuevamente,Adolygwch eich archeb eto,,请再次检查您的订单,
do_you_really_want_to_cancel_this_order?,Do you really want to cancel this Order?,Do you really want to cancel this Order?,Voulez-vous vraiment annuler cette commande ?,Vuoi davvero annullare questo ordine?,Möchten Sie diese Bestellung wirklich stornieren?,Wilt u deze bestelling echt annuleren?,¿Está seguro de que desea cancelar este pedido?,Ydych chi wir eisiau canslo'r Gorchymyn hwn?,,您确实要取消此订单吗？,
confirmation,confirmation,confirmation,confirmation,conferma,Bestätigung,bevestiging,confirmación,cadarnhad,,确认,
cancel_this_order,Cancel this order,Cancel this order,Annuler cette commande,Annulla questo ordine,Diese Bestellung stornieren,Annuleer deze bestelling,Cancelar este pedido,Canslo'r gorchymyn hwn,,取消此订单,
delivery,Delivery,Delivery,Livraison,Consegna,Lieferung,Levering,Entrega,Cyflwyno,,送货,
enter_your_delivery_address_here,Enter your delivery address here...,Enter your delivery address here...,Entrez votre adresse de livraison ici...,Inserisci qui il tuo indirizzo di consegna...,Geben Sie hier Ihre Lieferadresse ein...,Voer hier uw afleveradres in...,Introduzca su dirección de entrega aquí...,Rhowch eich cyfeiriad danfon yma...,,在此输入您的送货地址...,
enter_any_instructions_for_your_delivery_driver_here,Enter any instructions for your delivery driver here..,Enter any instructions for your delivery driver here..,Saisissez ici toutes les instructions destinées à votre chauffeur-livreur.,Inserisci qui eventuali istruzioni per il corriere.,Geben Sie hier alle Anweisungen für Ihren Zusteller ein.,Voer hier eventuele instructies voor uw bezorger in.,Ingrese aquí cualquier instrucción para su conductor de entrega.,Rhowch unrhyw gyfarwyddiadau ar gyfer eich gyrrwr danfon yma..,,在此输入对送货司机的任何指示。,
basket,Basket,Basket,Panier,Cestino,Korb,Mand,Cesta,Basged,,篮子,
checkout_now,Check out Now,Checkout Now,Commander maintenant,Acquista ora,Jetzt zur Kasse,Nu afrekenen,Pagar ahora,Desg Dalu Nawr,,立即结帐,
claim_redeem,Claim Redeem,Claim Redeem,Réclamer Échanger,Richiedi Riscatta,Anspruch Einlösen,Claim Inwisselen,Reclamar Canjear,Hawliad a brynir,,索取兑换,
you_already_redeemed_this_discount,You already redeemed this discount.,You already redeemed this discount.,Vous avez déjà utilisé cette réduction.,Hai già usufruito di questo sconto.,Sie haben diesen Rabatt bereits eingelöst.,U heeft deze korting al verzilverd.,Ya canjeaste este descuento.,Rydych chi eisoes wedi adbrynu'r gostyngiad hwn.,,您已经兑换了此折扣。,
discount_available_for,Discount available for,Discount available for,Remise disponible pour,Sconto disponibile per,Rabatt verfügbar für,Korting beschikbaar voor,Descuento disponible para,Gostyngiad ar gael ar gyfer,,可享受折扣,
veggie,Vegetarian,Veggie,Végétarien,Vegetariano,Vegetarisch,Veggie,Vegetariano,Llysieuyn,,素食,
indian,Indian,Indian,indien,indiano,indisch,Indiaas,indio,Indiaidd,,印度,
drinks,Drinks,Drinks,Boissons,Bevande,Getränke,Drankjes,Bebidas,Diodydd,,饮料,
discounts,Discounts,Discounts,Réductions,Sconti,Rabatte,Kortingen,Descuentos,Gostyngiadau,,折扣,
starter,Appetizer,Starter,Démarreur,Antipasto,Anlasser,Starter,Motor de arranque,Dechreuwr,,起动机,
mains,Mains,Mains,Plats principaux,Rete principale,Netz,Hoofdvoeding,Red eléctrica,Prif gyflenwad,,电源,
store_not_found!,Store not found!,Store not found!,Magasin non trouvé !,Negozio non trovato!,Shop nicht gefunden!,Winkel niet gevonden!,¡Tienda no encontrada!,Heb ddod o hyd i'r storfa!,,未找到商店！,
were_closed_right_now_please_check_back_soon_soon,We're closed right now. Please check back soon soon.,Were closed right now. Please check back soon soon.,Nous sommes actuellement fermés. Revenez bientôt.,Al momento siamo chiusi. Tornate a trovarci presto.,Wir sind derzeit geschlossen. Bitte schauen Sie bald wieder vorbei.,We zijn momenteel gesloten. Kom snel weer eens kijken.,Estamos cerrados. Vuelve pronto.,Wedi cau ar hyn o bryd. Gwiriwch yn √¥l yn fuan.,,现已关闭。请稍后再回来查看。,
marketplace,Marketplace,Marketplace,Marché,Mercato,Marktplatz,Marktplaats,Mercado,Marchnad,,市场,
your_orders,Your Orders,Your Orders,Vos commandes,I tuoi ordini,Ihre Bestellungen,Uw bestellingen,Sus pedidos,Eich Gorchmynion,,您的订单,
ordered_on,Ordered on,Ordered on,Commandé le,Ordinato il,Bestellt am,Besteld op,Ordenado el,Archebwyd ymlaen,,订购日期,
clear,Clear,Clear,Clair,Chiaro,Klar,Duidelijk,Claro,Clir,,清除,
service_not_found!,Service not found!,Service not found!,Service non trouvé !,Servizio non trovato!,Dienst nicht gefunden!,Service niet gevonden!,¡Servicio no encontrado!,Gwasanaeth heb ei ddarganfod!,,未找到服务！,
something_went_wrong_try_again,Something went wrong. Try again,Something went wrong. Try again,Une erreur s'est produite. Réessayez.,Qualcosa è andato storto. Riprova.,Etwas ist schiefgelaufen. Versuchen Sie es erneut,Er is iets misgegaan. Probeer het opnieuw.,Algo salió mal. Inténtalo de nuevo.,Aeth rhywbeth o'i le. Ceisiwch eto,,出了点问题。请重试,
enter_your_space_name,Enter your space name,Enter your space name,Entrez le nom de votre espace,Inserisci il nome del tuo spazio,Geben Sie Ihren Raumnamen ein,Voer uw ruimtenaam in,Ingresa el nombre de tu espacio,Rhowch eich enw gofod,,输入您的空间名称,
please_try_again,Please try again.,Please try again.,Veuillez réessayer.,Riprova per favore.,Bitte versuchen Sie es erneut.,Probeer het nog eens.,"Por favor, inténtelo de nuevo.",Ceisiwch eto.,,请重试。,
youll_want_to_connect_to_these_chat_groups,Join these chat groups based on your interests.,Join these chat groups based on your interests.,Rejoignez ces groupes de discussion en fonction de vos intérêts.,Unisciti a questi gruppi di chat in base ai tuoi interessi.,Treten Sie diesen Chatgruppen basierend auf Ihren Interessen bei.,Sluit u aan bij deze chatgroepen op basis van uw interesses.,Únase a estos grupos de chat según sus intereses.,Byddwch chi eisiau cysylltu √¢'r grwpiau sgwrsio hyn.,,根据您的兴趣加入这些聊天组。,
enter_your_details_to_activate_your_account,Enter your details to activate your account.,Enter your details to activate your account.,Entrez vos coordonnées pour activer votre compte.,Inserisci i tuoi dati per attivare il tuo account.,"Geben Sie Ihre Daten ein, um Ihr Konto zu aktivieren.",Vul uw gegevens in om uw account te activeren.,Introduzca sus datos para activar su cuenta.,Rhowch eich manylion i actifadu eich cyfrif.,,输入您的详细信息以激活您的帐户。,
lets_go!,Lets Go!,Lets Go!,Allons-y!,Andiamo!,Lass uns gehen!,Laten we gaan!,¡Vamos!,Lets Go!,,我们走吧！,
please_wait,Please wait,Please wait,"S'il vous plaît, attendez",attendere prego,Bitte warten,Even geduld a.u.b.,Espere por favor,Arhoswch os gwelwch yn dda,,请稍等,
view_profile,View Profile,View Profile,Voir le profil,Visualizza profilo,Profil anzeigen,Bekijk profiel,Ver perfil,Gweld Proffil,,查看个人资料,
learn_more,Learn more.,Learn more.,Apprendre encore plus.,Saperne di più.,Erfahren Sie mehr.,Meer informatie.,Más información.,Dysgwch fwy.,,了解更多。,
exceptional,Exceptional,Exceptional,Exceptionnel,Eccezionale,Außergewöhnlich,Uitzonderlijk,Excepcional,Eithriadol,,卓越,
this_poll_and_surwayback_button,This poll and ???? Back Button,This poll and surwayBack Button,Ce sondage et cette enquêteBouton Retour,Questo sondaggio e il pulsante Indietro,Diese Umfrage und UmfrageZurück-Button,Deze poll en surwayBack-knop,Esta encuesta y el botón Volver,Mae'r p√¥l hwn a'r botwm surwayN√¥l,,本次投票和调查返回按钮,
answered_thanks_for_submitting_yours,"answered, Thank you for submitting","answered, Thanks for submitting yours.","répondu, merci d'avoir soumis le vôtre.","risposto, Grazie per aver inviato la tua.",beantwortet. Danke für die Übermittlung.,antwoordde: Bedankt voor het indienen van de uwe.,"respondido, gracias por enviar el tuyo.","atebodd, Diolch am gyflwyno'ch un chi.",,回答，感谢您提交您的问题。,
at_this_moment_there_is_no_package_available_for_you_if_any_package_available_for_you_will_get_notify,"At this moment there is no package available for you, if any package available for you will get notified","At this moment there is no package available for you, if any package available for you will get notify","Pour le moment, aucun package n'est disponible pour vous. Si un package est disponible pour vous, vous en serez informé.","Al momento non c'è nessun pacchetto disponibile per te, se ce n'è uno disponibile per te verrai avvisato","Im Moment ist kein Paket für Sie verfügbar. Wenn ein Paket für Sie verfügbar ist, werden Sie benachrichtigt","Op dit moment is er geen pakket voor u beschikbaar. Als er een pakket voor u beschikbaar is, krijgt u een melding.","En este momento no hay ningún paquete disponible para usted, si hay algún paquete disponible para usted recibirá una notificación","Ar hyn o bryd nid oes pecyn ar gael i chi, os bydd unrhyw becyn sydd ar gael i chi yn cael gwybod",,目前没有适合您的套餐，如果有可用的套餐，您将收到通知,
collected_packages_will_appear_here,Collected packages will appear here.,Collected packages will appear here.,Les colis collectés apparaîtront ici.,I pacchetti raccolti appariranno qui.,Hier werden gesammelte Pakete angezeigt.,Verzamelde pakketten verschijnen hier.,Los paquetes recolectados aparecerán aquí.,Bydd pecynnau a gasglwyd yn ymddangos yma.,,收集到的包裹将会在这里出现。,
my_reported_issues,My Reported Issues,My Reported Issues,Mes problèmes signalés,I miei problemi segnalati,Meine gemeldeten Probleme,Mijn gerapporteerde problemen,Mis problemas reportados,Fy Materion a Adroddir,,我报告的问题,
you_can_select,You can select,You can select,Vous pouvez sélectionner,Puoi selezionare,Sie können auswählen,U kunt selecteren,Puedes seleccionar,Gallwch ddewis,,您可以选择,
please_select_a_problem,Please select a problem,Please select a problem,Veuillez sélectionner un problème,Seleziona un problema,Bitte wählen Sie ein Problem aus,Selecteer een probleem,Por favor seleccione un problema,Dewiswch broblem,,请选择一个问题,
issue_id,Issue ID,Issue ID,ID du problème,ID problema,Problem-ID,Probleem-ID,Identificación del problema,ID y mater,,问题 ID,
find_location,Find Location,Find Location,Trouver un emplacement,Trova posizione,Standort suchen,Locatie vinden,Encontrar ubicación,Dod o Hyd i Leoliad,,查找位置,
other,Other,Other,Autre,Altro,Andere,Ander,Otro,Arall,,其他,
your_payment_has_been_successfully_processed,Your payment has been successfully processed.,Your payment has been successfully processed.,Votre paiement a été traité avec succès.,Il tuo pagamento è stato elaborato con successo.,Ihre Zahlung wurde erfolgreich verarbeitet.,Uw betaling is succesvol verwerkt.,Su pago ha sido procesado exitosamente.,Mae'ch taliad wedi'i brosesu'n llwyddiannus.,,您的付款已成功处理。,
at_this_moment_there_is_no_active_membership_available,At this moment there is no active membership available,At this moment there is no active membership available,"À l'heure actuelle, il n'y a pas d'adhésion active disponible",Al momento non è disponibile alcuna iscrizione attiva,Zurzeit ist keine aktive Mitgliedschaft verfügbar,Op dit moment is er geen actief lidmaatschap beschikbaar,En este momento no hay membresías activas disponibles,Ar hyn o bryd nid oes aelodaeth weithredol ar gael,,目前没有可用的有效会员资格,
continue,Continue,Continue,Continuer,Continuare,Weitermachen,Doorgaan,Continuar,Parhau,,继续,
cancelled_by_user,Cancelled by User.,Cancelled by User.,Annulé par l'utilisateur.,Annullato dall'utente.,Vom Benutzer abgebrochen.,Geannuleerd door gebruiker.,Cancelado por el usuario.,Wedi'i ganslo gan y Defnyddiwr.,,已被用户取消。,
no_space_found,No space found,No space found,Aucun espace trouvé,Nessuno spazio trovato,Kein Platz gefunden,Geen ruimte gevonden,No se encontró espacio,Heb ganfod lle,,未找到空间,
here_are_some_chat_groups_we_suggest!_you_can_edit_this_anytime,Here are some chat groups we suggest! You can edit this anytime,Here are some chat groups we suggest! You can edit this anytime,Voici quelques groupes de discussion que nous vous suggérons ! Vous pouvez les modifier à tout moment.,Ecco alcuni gruppi di chat che ti suggeriamo! Puoi modificarli in qualsiasi momento,"Hier sind einige Chatgruppen, die wir vorschlagen! Sie können diese jederzeit bearbeiten",Hier zijn enkele chatgroepen die we aanbevelen! Je kunt dit op elk gewenst moment bewerken.,¡Aquí tienes algunos grupos de chat que te sugerimos! Puedes editarlos cuando quieras.,Dyma rai grwpiau sgwrsio rydyn ni'n eu hawgrymu! Gallwch olygu hwn unrhyw bryd,,以下是我们推荐的一些聊天群组！您可以随时编辑此内容,
"we_have_sent_an_email_to_verify_your_email
_please_click_the_link_to_proceed_ahead","We have sent an email to verify your email.
 Please click the link to proceed ahead.","We have sent an email to verify your email.
 Please click the link to proceed ahead.",Nous vous avons envoyé un courriel pour vérifier votre adresse e-mail. Veuillez cliquer sur le lien pour continuer.,"Ti abbiamo inviato un'email per verificare il tuo indirizzo email.
Clicca sul link per procedere.","Wir haben Ihnen eine E-Mail zur Bestätigung Ihrer E-Mail-Adresse gesendet.
Bitte klicken Sie auf den Link, um fortzufahren.","We hebben een e-mail gestuurd om uw e-mailadres te verifiëren.
Klik op de link om verder te gaan.",Hemos enviado un correo electrónico para verificar su dirección de correo electrónico. Haga clic en el enlace para continuar.,"Rydym wedi anfon e-bost i wirio eich e-bost.
 Cliciwch ar y ddolen i fynd ymlaen.",,我们已发送电子邮件以验证您的邮箱。请点击链接继续操作。,
your_work_e-mail,Your work e-mail,Your work e-mail,Votre e-mail professionnel,La tua e-mail di lavoro,Ihre geschäftliche E-Mail,Uw werk-e-mailadres,Tu correo electrónico de trabajo,E-bost eich gwaith,,您的工作邮箱,
enable,Enable,Enable,Activer,Abilitare,Aktivieren,Inschakelen,Permitir,Galluogi,,使能够,
collected,Collected,Collected,Collecté,Raccolto,Gesammelt,Verzameld,Coleccionado,Wedi'i gasglu,,集,
report_an_issue,Report an Issue,Report an Issue,Signaler un problème,Segnala un problema,Ein Problem melden,Meld een probleem,Informar un problema,Rhoi gwybod am Fater,,报告问题,
only,only,only,seulement,soltanto,nur,alleen,solo,yn unig,,仅有的,
staff_member_assigned_to,Staff member assigned to,Staff member assigned to,Membre du personnel affecté à,Membro dello staff assegnato a,Mitarbeiter zugewiesen,Personeelslid toegewezen aan,Miembro del personal asignado a,Aelod o staff wedi'i neilltuo i,,工作人员被分配至,
other_please_specify_your_issue,"Other, please specify your issue","Other, please specify your issue","Autre, veuillez préciser votre problème","Altro, specifica il tuo problema","Sonstiges, bitte geben Sie Ihr Problem an","Anders, geef aan wat uw probleem is","Otro, por favor especifique su problema","Arall, nodwch eich mater",,其他，请具体说明您的问题,
automatically_renew_membership,Automatically renew membership,Automatically renew membership,Renouvellement automatique de l'adhésion,Rinnova automaticamente l'iscrizione,Mitgliedschaft automatisch verlängern,Lidmaatschap automatisch verlengen,Renovar automáticamente la membresía,Adnewyddu aelodaeth yn awtomatig,,自动续订会员资格,
subscribing,Subscribing...,Subscribing...,S'abonner...,Iscrizione in corso...,Abonnieren...,Abonneren...,Suscribiendose...,Wrthi'n tanysgrifio...,,订阅中...,
select_payment_plan,Select payment plan.,Select payment plan.,Sélectionnez le plan de paiement.,Seleziona il piano di pagamento.,Zahlungsplan auswählen.,Selecteer een betalingsplan.,Seleccione el plan de pago.,Dewiswch gynllun talu.,,选择付款计划。,
heyhub_is_your_gateway_to_the_community_in_your_space,KxEngage is your Gateway to the community in your space.,KxEngage is your Gateway to the community in your space.,KxEngage est votre passerelle vers la communauté de votre espace.,KxEngage è il tuo portale per accedere alla comunità del tuo spazio.,KxEngage ist Ihr Tor zur Community in Ihrer Nähe.,KxEngage is uw toegangspoort tot de community in uw sector.,KxEngage es su puerta de entrada a la comunidad en su espacio.,KxEngage yw eich Porth i'r gymuned yn eich gofod,,KxEngage 是您进入您所在空间社区的门户。,
next;,Next;,Next;,Suivant;,Prossimo;,Nächste;,Volgende;,Próximo;,Nesaf;,,下一个;,
"your_email_is_not_verified_please_check_your_email
_open_inbox","Your email is not verified. Please check your email.
 Open Inbox","Your email is not verified. Please check your email.
 Open Inbox","Votre adresse e-mail n'est pas vérifiée. Veuillez la vérifier.

Ouvrir la boîte de réception","Il tuo indirizzo email non è verificato. Controlla la tua email.
Apri Posta in arrivo","Ihre E-Mail-Adresse wurde nicht verifiziert. Bitte überprüfen Sie Ihre E-Mail-Adresse.
Posteingang öffnen","Je e-mailadres is niet geverifieerd. Controleer je e-mail.
Open inbox","Tu correo electrónico no está verificado. Por favor, revisa tu correo.
Abrir bandeja de entrada","Nid yw eich e-bost wedi'i wirio. Gwiriwch eich e-bost.
 Agor Blwch Derbyn",,您的邮箱尚未验证。请检查您的邮箱。打开收件箱,
terms_of_service,Terms of service,Terms of service,Conditions d'utilisation,Termini di servizio,Servicebedingungen,Servicevoorwaarden,Condiciones de servicio,Telerau gwasanaeth,,服务条款,
to,to,to,à,A,Zu,naar,a,i,,到,
package_address,Package Address,Package Address,Adresse du colis,Indirizzo del pacco,Paketadresse,Pakketadres,Dirección del paquete,Cyfeiriad Pecyn,,包裹地址,
emergency_report,Emergency Report,Emergency Report,Rapport d'urgence,Rapporto di emergenza,Notfallbericht,Noodrapport,Informe de emergencia,Adroddiad Argyfwng,,紧急报告,
please_select_a_to_report_this_issue,Please select a to report this issue.,Please select a to report this issue.,Veuillez sélectionner un pour signaler ce problème.,Seleziona un'opzione per segnalare questo problema.,"Bitte wählen Sie eins aus, um dieses Problem zu melden.",Selecteer een optie om dit probleem te melden.,Seleccione una opción para informar este problema.,Dewiswch a i adrodd am y mater hwn.,,请选择一个来报告此问题。,
problem,Problem,Problem,Problème,Problema,Problem,Probleem,Problema,Problem,,问题,
terms,Terms,Terms,Termes,Termini,Bedingungen,Voorwaarden,Términos,Termau,,条款,
payment_failed,Payment failed,Payment failed,Paiement échoué,Pagamento fallito,Zahlung fehlgeschlagen,Betaling mislukt,Pago fallido,Methodd y taliad,,付款失败,
resend,Resend,Resend,Renvoyer,Invia di nuovo,Erneut senden,Opnieuw verzenden,Reenviar,Ailanfon,,重新发送,
privacy_policy,Privacy policy,Privacy policy,Politique de confidentialité,Politica sulla riservatezza,Datenschutzrichtlinie,Privacybeleid,Política de privacidad,Polisi preifatrwydd,,隐私政策,
next_question,Next question,Next question,Question suivante,Domanda successiva,Nächste Frage,Volgende vraag,Siguiente pregunta,Cwestiwn nesaf,,下一个问题,
call_support,Call Support,Call Support,Appeler le support,Chiama il supporto,Support anrufen,Bel ondersteuning,Llamar al soporte técnico,Cefnogaeth Galwadau,,致电支持,
sorry_we_could_not_process_your_purchase_please_try_again_later,"Sorry, we could not process your purchase. Please try again later.","Sorry, we could not process your purchase. Please try again later.","Désolé, nous n'avons pas pu traiter votre achat. Veuillez réessayer ultérieurement.","Spiacenti, non è stato possibile elaborare il tuo acquisto. Riprova più tardi.",Leider konnten wir Ihren Kauf nicht bearbeiten. Bitte versuchen Sie es später noch einmal.,Helaas konden we uw aankoop niet verwerken. Probeer het later opnieuw.,"Lo sentimos, no pudimos procesar tu compra. Inténtalo de nuevo más tarde.","Mae'n ddrwg gennym, ni allem brosesu eich pryniant. Ceisiwch eto yn nes ymlaen.",,抱歉，我们无法处理您的购买。请稍后重试。,
i_confirmed_my_email,I confirmed my email,I confirmed my email,J'ai confirmé mon email,Ho confermato la mia email,Ich habe meine E-Mail bestätigt,Ik heb mijn e-mailadres bevestigd,Confirmé mi correo electrónico,Cadarnheais fy e-bost,,我确认了我的电子邮件,
issue_reported_successfully,Issue reported successfully,Issue reported successfully,Problème signalé avec succès,Problema segnalato correttamente,Problem erfolgreich gemeldet,Probleem succesvol gemeld,Problema reportado exitosamente,Adroddwyd am y mater yn llwyddiannus,,问题已成功报告,
skip,Skip,Skip,Sauter,Saltare,Überspringen,Overslaan,Saltar,Sgipio,,跳过,
not_your_email?,Not your email?,Not your email?,Ce n'est pas votre email ?,Non è il tuo indirizzo email?,Nicht Ihre E-Mail?,Is dit niet jouw e-mailadres?,¿No es tu correo electrónico?,Nid eich e-bost?,,不是您的电子邮件？,
question,Question,Question,Question,Domanda,Frage,Vraag,Pregunta,Cwestiwn,,问题,
issue_reporting_failed,Issue reporting failed.,Issue reporting failed.,Le signalement du problème a échoué.,Segnalazione del problema non riuscita.,Die Problemmeldung ist fehlgeschlagen.,Het melden van het probleem is mislukt.,Error en el informe de problemas.,Methodd adrodd ar y mater.,,问题报告失败。,
photos_or_videos,Photos or Videos,Photos or Videos,Photos ou vidéos,Foto o video,Fotos oder Videos,Foto's of video's,Fotos o vídeos,Lluniau neu Fideos,,照片或视频,
membership_perks,Membership Perks,Membership Perks,Avantages de l'adhésion,Vantaggi per i soci,Vorteile der Mitgliedschaft,Lidmaatschapsvoordelen,Beneficios de la membresía,Manteision Aelodaeth,,会员福利,
